date,generated_power_kw
2024-01-03 23:00:00,2675.5011
2024-01-05 02:00:00,2677.5709
2024-01-05 20:00:00,2689.5167
2024-01-07 00:00:00,2724.477
2024-01-07 01:00:00,2668.6514
2024-01-09 12:00:00,2664.7049
2024-01-09 13:00:00,2899.872
2024-01-09 14:00:00,2822.5761
2024-01-09 22:00:00,2709.7533
2024-01-09 23:00:00,2898.309
2024-01-10 00:00:00,2839.5309
2024-01-11 05:00:00,2805.2676
2024-01-11 06:00:00,2768.1883
2024-01-12 21:00:00,2741.3694
2024-01-15 14:00:00,2848.8113
2024-01-15 15:00:00,3042.2762
2024-01-15 16:00:00,2976.7425
2024-01-15 18:00:00,2012.8759
2024-01-17 05:00:00,2748.0358
2024-01-17 06:00:00,2909.5366
2024-01-17 07:00:00,2774.0572
2024-01-19 16:00:00,2804.8013
2024-01-19 17:00:00,2961.926
2024-01-19 18:00:00,2867.343
2024-01-20 13:00:00,2977.094
2024-01-20 14:00:00,2955.7583
2024-01-20 23:00:00,2795.9993
2024-01-21 00:00:00,2949.8806
2024-01-21 01:00:00,2881.9097
2024-01-23 04:00:00,2857.5967
2024-01-23 05:00:00,2689.2852
2024-01-23 12:00:00,2016.125
2024-01-23 15:00:00,2767.1597
2024-01-23 16:00:00,2061.6401
2024-01-24 11:00:00,2678.9464
2024-01-24 12:00:00,2850.3126
2024-01-25 09:00:00,3036.9697
2024-01-25 10:00:00,2999.3172
2024-01-25 11:00:00,2746.2333
2024-01-25 19:00:00,2849.3513
2024-01-25 20:00:00,3049.4668
2024-01-25 21:00:00,3000.4989
2024-01-25 22:00:00,2739.6307
2024-01-26 06:00:00,2746.9364
2024-01-26 07:00:00,2922.9944
2024-01-26 08:00:00,2874.0353
2024-01-26 17:00:00,2705.2294
2024-01-26 18:00:00,2822.5712
2024-01-26 19:00:00,2800.9035
2024-01-27 04:00:00,2697.1626
2024-01-27 05:00:00,2923.0258
2024-01-27 06:00:00,2888.6197
2024-01-27 17:00:00,2909.6684
2024-01-27 18:00:00,2774.5503
2024-01-28 03:00:00,2704.2585
2024-01-28 04:00:00,2771.6524
2024-01-28 05:00:00,2766.9008
2024-01-28 14:00:00,2666.7428
2024-01-28 15:00:00,2820.1406
2024-01-28 16:00:00,2791.1566
2024-01-29 01:00:00,2025.6491
2024-01-29 03:00:00,2696.244
2024-01-29 04:00:00,2719.7232
2024-01-29 20:00:00,2894.8564
2024-01-29 21:00:00,3056.7941
2024-01-29 22:00:00,2997.9068
2024-01-29 23:00:00,2742.1568
2024-01-30 21:00:00,2848.1827
2024-01-30 22:00:00,2952.9333
2024-01-30 23:00:00,2915.0436
2024-02-05 09:00:00,2798.8026
2024-02-05 10:00:00,2857.0071
2024-02-05 11:00:00,2842.0558
2024-02-05 22:00:00,2763.0826
2024-02-06 11:00:00,2745.8985
2024-02-06 12:00:00,2885.0596
2024-02-06 13:00:00,2820.1377
2024-02-07 00:00:00,2676.6376
2024-02-07 01:00:00,2951.6153
2024-02-07 02:00:00,2840.5825
2024-02-07 13:00:00,2860.7291
2024-02-07 14:00:00,2964.7868
